13|13|611|6.02999999999999970E+001|2005
21|21|53|6.06000000000000010E+001|2005
46|46|8|1.06000000000000000E+001|2005
54|54|359|0.00000000000000000E+000|2005
64|64|634|3.05000000000000000E+001|2005
88|88|307|5.05000000000000000E+001|2005
99|99|14|9.00999999999999940E+001|2005
123|123|12|1.01000000000000000E+001|2005
143|143|51|7.09000000000000060E+001|2005
151|151|39|7.05999999999999940E+001|2005
172|172|385|6.07000000000000030E+001|2005
180|180|300|9.09000000000000060E+001|2005
194|194|553|7.07000000000000030E+001|2005
218|218|547|7.09000000000000060E+001|2005
225|225|612|9.09000000000000060E+001|2005
249|249|223|8.05999999999999940E+001|2005
265|265|618|6.02999999999999970E+001|2005
273|273|300|5.00000000000000000E+001|2005
298|298|301|0.00000000000000000E+000|2005
306|306|307|9.00000000000000020E-001|2005
324|324|314|4.01000000000000010E+001|2005
348|348|156|9.00999999999999940E+001|2005
359|359|2|9.00000000000000020E-001|2005
383|383|189|5.08999999999999990E+001|2005
395|395|259|5.01000000000000010E+001|2005
403|403|183|1.01000000000000000E+001|2005
424|424|147|1.06999999999999990E+001|2005
432|432|120|3.01000000000000010E+001|2005
454|454|31|9.09000000000000060E+001|2005
478|478|127|2.99999999999999990E-001|2005
485|485|171|5.05000000000000000E+001|2005
509|509|626|6.07999999999999970E+001|2005
526|526|543|2.01999999999999990E+001|2005
534|534|280|9.00000000000000020E-001|2005
557|557|271|7.07999999999999970E+001|2005
565|565|146|2.08999999999999990E+001|2005
579|579|222|3.01000000000000010E+001|2005
603|603|135|2.01999999999999990E+001|2005
608|608|202|1.01000000000000000E+001|2005
632|632|52|5.07000000000000030E+001|2005
652|652|49|1.00000000000000000E+001|2005
660|660|66|4.08999999999999990E+001|2005
687|687|325|1.01000000000000000E+001|2005
695|695|310|7.09000000000000060E+001|2005
705|705|368|4.03999999999999990E+001|2005
729|729|553|5.02000000000000030E+001|2005
738|738|355|6.06000000000000010E+001|2005
762|762|31|2.01999999999999990E+001|2005
778|778|302|3.03000000000000010E+001|2005
786|786|607|2.03000000000000010E+001|2005
809|809|54|8.09000000000000060E+001|2005
817|817|300|6.02999999999999970E+001|2005
839|839|536|4.03999999999999990E+001|2005
863|863|616|6.08999999999999990E+001|2005
868|868|343|1.01000000000000000E+001|2005
892|892|300|5.05000000000000000E+001|2005
904|904|21|4.03999999999999990E+001|2005
912|912|34|0.00000000000000000E+000|2005
939|939|314|9.04000000000000060E+001|2005
947|947|18|4.03999999999999990E+001|2005
965|965|22|3.08000000000000010E+001|2005
989|989|4|4.02000000000000030E+001|2005
998|998|2|5.02000000000000030E+001|2005
1022|1022|16|9.09000000000000060E+001|2008
1035|1035|33|7.02000000000000030E+001|2008
1043|1043|648|5.01000000000000010E+001|2008
1064|1064|609|5.05000000000000000E+001|2008
1072|1072|300|2.01999999999999990E+001|2008
1094|1094|300|1.01000000000000000E+001|2008
1118|1118|637|6.06000000000000010E+001|2008
1125|1125|192|1.00000000000000000E+001|2008
1149|1149|548|8.05999999999999940E+001|2008
1161|1161|536|6.07000000000000030E+001|2008
1169|1169|614|9.07000000000000030E+001|2008
1194|1194|56|9.09000000000000060E+001|2008
1202|1202|302|8.07999999999999970E+001|2008
1220|1220|188|3.03000000000000010E+001|2008
1244|1244|34|2.08999999999999990E+001|2008
1255|1255|222|8.09000000000000060E+001|2008
1279|1279|130|1.04000000000000000E+001|2008
1295|1295|254|2.01000000000000010E+001|2008
1303|1303|131|5.05000000000000000E+001|2008
1324|1324|219|7.05999999999999940E+001|2008
1332|1332|185|6.07000000000000030E+001|2008
1346|1346|27|4.02999999999999970E+001|2008
1370|1370|36|2.01999999999999990E+001|2008
1377|1377|254|4.00000000000000000E+001|2008
1401|1401|144|4.00000000000000020E-001|2008
1421|1421|545|7.05999999999999940E+001|2008
1429|1429|361|2.01999999999999990E+001|2008
1454|1454|552|8.04000000000000060E+001|2008
1462|1462|147|4.02000000000000030E+001|2008
1472|1472|155|5.99999999999999980E-001|2008
1496|1496|131|5.07999999999999970E+001|2008
1507|1507|274|7.07000000000000030E+001|2008
1531|1531|64|7.07999999999999970E+001|2008
1544|1544|213|9.09000000000000060E+001|2008
1552|1552|250|6.06000000000000010E+001|2008
1579|1579|33|8.05000000000000000E+001|2008
1587|1587|27|9.00000000000000000E+001|2008
1605|1605|127|3.03000000000000010E+001|2008
1629|1629|180|2.03000000000000010E+001|2008
1638|1638|257|9.05000000000000000E+001|2008
1662|1662|225|6.06000000000000010E+001|2008
1674|1674|35|6.01000000000000010E+001|2008
1682|1682|21|0.00000000000000000E+000|2008
1705|1705|34|9.00999999999999940E+001|2008
1713|1713|159|2.06999999999999990E+001|2008
1735|1735|226|6.02999999999999970E+001|2008
1759|1759|623|8.00000000000000000E+001|2008
1764|1764|49|4.03999999999999990E+001|2008
1788|1788|633|6.08999999999999990E+001|2008
1804|1804|279|0.00000000000000000E+000|2008
